id,sequence,task,choices,response,response_type,domain,enc_task,enc_response,rt,confidence,confidence_time,correct,valid,age,gender,education,puzzles,maths,condition,experience,strategies,system12,unfocused,adjusted,helpful
CRNRFFSQBI,0,Some not;painters;actors/All;painters;workers,Some not;actors;workers|No;actors;workers|NVC|Some;workers;actors|Some;actors;workers|Some not;workers;actors|All;actors;workers|All;workers;actors|No;workers;actors,Some;workers;actors,single-choice,syllogistic,OA4,Ica,70.55037399998008,,,False,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,1,All;tellers;carpenters/All;artists;tellers,Some not;carpenters;artists|No;carpenters;artists|NVC|Some;artists;carpenters|Some;carpenters;artists|Some not;artists;carpenters|All;carpenters;artists|All;artists;carpenters|No;artists;carpenters,All;artists;carpenters,single-choice,syllogistic,AA2,Aca,14.947225333352748,,,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,2,Some;cyclists;lifeguards/Some;divers;cyclists,Some not;lifeguards;divers|No;lifeguards;divers|NVC|Some;divers;lifeguards|Some;lifeguards;divers|Some not;divers;lifeguards|All;lifeguards;divers|All;divers;lifeguards|No;divers;lifeguards,Some;lifeguards;divers,single-choice,syllogistic,II2,Iac,21.524193333317523,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,3,All;actuaries;riders/Some not;designers;actuaries,Some not;riders;designers|No;riders;designers|NVC|Some;designers;riders|Some;riders;designers|Some not;designers;riders|All;riders;designers|All;designers;riders|No;designers;riders,NVC,single-choice,syllogistic,AO2,NVC,6.8196513333221676,,,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,4,Some not;chemists;skaters/No;hikers;skaters,Some not;chemists;hikers|No;chemists;hikers|NVC|Some;hikers;chemists|Some;chemists;hikers|Some not;hikers;chemists|All;chemists;hikers|All;hikers;chemists|No;hikers;chemists,Some;hikers;chemists,single-choice,syllogistic,OE3,Ica,26.871211333324055,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,5,All;planners;doctors/Some;planners;typists,Some not;doctors;typists|No;doctors;typists|NVC|Some;typists;doctors|Some;doctors;typists|Some not;typists;doctors|All;doctors;typists|All;typists;doctors|No;typists;doctors,Some;doctors;typists,single-choice,syllogistic,AI4,Iac,27.621906333316883,,,True,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,6,No;linguists;carpenters/All;linguists;divers,Some not;carpenters;divers|No;carpenters;divers|NVC|Some;divers;carpenters|Some;carpenters;divers|Some not;divers;carpenters|All;carpenters;divers|All;divers;carpenters|No;divers;carpenters,No;divers;carpenters,single-choice,syllogistic,EA4,Eca,13.772856999993218,,,False,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,7,All;porters;packers/Some not;porters;hunters,Some not;packers;hunters|No;packers;hunters|NVC|Some;hunters;packers|Some;packers;hunters|Some not;hunters;packers|All;packers;hunters|All;hunters;packers|No;hunters;packers,Some;packers;hunters,single-choice,syllogistic,AO4,Iac,34.10973699998783,,,False,True,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,8,No;scientists;chefs/Some not;chefs;runners,Some not;scientists;runners|No;scientists;runners|NVC|Some;runners;scientists|Some;scientists;runners|Some not;runners;scientists|All;scientists;runners|All;runners;scientists|No;runners;scientists,NVC,single-choice,syllogistic,EO1,NVC,13.248861333360184,,,True,False,27,female,university,yes,yes,control,no,2,4,0,,
CRNRFFSQBI,9,All;soldiers;assistants/All;barbers;assistants,Some not;soldiers;barbers|No;soldiers;barbers|NVC|Some;barbers;soldiers|Some;soldiers;barbers|Some not;barbers;soldiers|All;soldiers;barbers|All;barbers;soldiers|No;barbers;soldiers,All;soldiers;barbers,single-choice,syllogistic,AA3,Aac,11.59032433332995,,,False,False,27,female,university,yes,yes,control,no,2,4,0,,
