id,sequence,task,choices,response,response_type,domain,enc_task,enc_response,rt,confidence,confidence_time,correct,valid,age,gender,education,puzzles,maths,condition,experience,system12,unfocused,adjusted,helpful
ACCLLDFWCL,0,All;architects;boxers/Some not;runners;architects,Some not;boxers;runners|No;runners;boxers|Some not;runners;boxers|NVC|Some;boxers;runners|Some;runners;boxers|All;runners;boxers|No;boxers;runners|All;boxers;runners,Some not;boxers;runners,single-choice,syllogistic,AO2,Oac,13.580666666666591,,,False,False,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,1,No;tailors;pilots/No;pilots;singers,Some not;tailors;singers|No;singers;tailors|Some not;singers;tailors|NVC|Some;tailors;singers|Some;singers;tailors|All;singers;tailors|No;tailors;singers|All;tailors;singers,No;tailors;singers,single-choice,syllogistic,EE1,Eac,35.06899999999922,,,False,False,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,2,Some;poets;waiters/Some not;waiters;cashiers,Some not;poets;cashiers|No;cashiers;poets|Some not;cashiers;poets|NVC|Some;poets;cashiers|Some;cashiers;poets|All;cashiers;poets|No;poets;cashiers|All;poets;cashiers,All;cashiers;poets,single-choice,syllogistic,IO1,Aca,5.427666666666673,,,False,False,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,3,No;students;cyclists/All;buyers;cyclists,Some not;students;buyers|No;buyers;students|Some not;buyers;students|NVC|Some;students;buyers|Some;buyers;students|All;buyers;students|No;students;buyers|All;students;buyers,No;buyers;students,single-choice,syllogistic,EA3,Eca,9.978666666666673,,,True,True,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,4,All;skaters;poets/All;miners;skaters,Some not;poets;miners|No;miners;poets|Some not;miners;poets|NVC|Some;poets;miners|Some;miners;poets|All;miners;poets|No;poets;miners|All;poets;miners,All;poets;miners,single-choice,syllogistic,AA2,Aac,24.12066666666609,,,False,True,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,5,Some;judges;athletes/Some;drillers;athletes,Some not;judges;drillers|No;drillers;judges|Some not;drillers;judges|NVC|Some;judges;drillers|Some;drillers;judges|All;drillers;judges|No;judges;drillers|All;judges;drillers,All;drillers;judges,single-choice,syllogistic,II3,Aca,5.441333333333343,,,False,False,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,6,Some not;linguists;carpenters/All;linguists;divers,Some not;carpenters;divers|No;divers;carpenters|Some not;divers;carpenters|NVC|Some;carpenters;divers|Some;divers;carpenters|All;divers;carpenters|No;carpenters;divers|All;carpenters;divers,Some;carpenters;divers,single-choice,syllogistic,OA4,Iac,16.548666666666517,,,False,True,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,7,Some not;analysts;counselors/No;opticians;counselors,Some not;analysts;opticians|No;opticians;analysts|Some not;opticians;analysts|NVC|Some;analysts;opticians|Some;opticians;analysts|All;opticians;analysts|No;analysts;opticians|All;analysts;opticians,Some not;analysts;opticians,single-choice,syllogistic,OE3,Oac,12.298666666666625,,,False,False,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,8,Some not;lifeguards;cyclists/Some not;divers;cyclists,Some not;lifeguards;divers|No;divers;lifeguards|Some not;divers;lifeguards|NVC|Some;lifeguards;divers|Some;divers;lifeguards|All;divers;lifeguards|No;lifeguards;divers|All;lifeguards;divers,Some not;lifeguards;divers,single-choice,syllogistic,OO3,Oac,6.026000000000018,,,False,False,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,9,Some not;cooks;mayors/Some not;swimmers;cooks,Some not;mayors;swimmers|No;swimmers;mayors|Some not;swimmers;mayors|NVC|Some;mayors;swimmers|Some;swimmers;mayors|All;swimmers;mayors|No;mayors;swimmers|All;mayors;swimmers,Some not;swimmers;mayors,single-choice,syllogistic,OO2,Oca,5.12433333333334,,,False,False,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,10,Some;cooks;nurses/All;painters;cooks,Some not;nurses;painters|No;painters;nurses|Some not;painters;nurses|NVC|Some;nurses;painters|Some;painters;nurses|All;painters;nurses|No;nurses;painters|All;nurses;painters,All;painters;nurses,single-choice,syllogistic,IA2,Aca,8.043000000000045,,,False,False,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,11,Some;climbers;therapists/Some not;climbers;skaters,Some not;therapists;skaters|No;skaters;therapists|Some not;skaters;therapists|NVC|Some;therapists;skaters|Some;skaters;therapists|All;skaters;therapists|No;therapists;skaters|All;therapists;skaters,No;therapists;skaters,single-choice,syllogistic,IO4,Eac,15.369999999999886,,,False,False,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,12,Some not;teachers;golfers/All;golfers;bankers,Some not;teachers;bankers|No;bankers;teachers|Some not;bankers;teachers|NVC|Some;teachers;bankers|Some;bankers;teachers|All;bankers;teachers|No;teachers;bankers|All;teachers;bankers,No;bankers;teachers,single-choice,syllogistic,OA1,Eca,10.07266666666667,,,False,False,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,13,All;assistants;farmers/No;assistants;scholars,Some not;farmers;scholars|No;scholars;farmers|Some not;scholars;farmers|NVC|Some;farmers;scholars|Some;scholars;farmers|All;scholars;farmers|No;farmers;scholars|All;farmers;scholars,NVC,single-choice,syllogistic,AE4,NVC,4.207333333333327,,,False,True,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,14,No;editors;dancers/Some;scholars;editors,Some not;dancers;scholars|No;scholars;dancers|Some not;scholars;dancers|NVC|Some;dancers;scholars|Some;scholars;dancers|All;scholars;dancers|No;dancers;scholars|All;dancers;scholars,Some not;scholars;dancers,single-choice,syllogistic,EI2,Oca,10.55266666666666,,,True,True,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,15,Some;jugglers;farmers/Some;gamblers;jugglers,Some not;farmers;gamblers|No;gamblers;farmers|Some not;gamblers;farmers|NVC|Some;farmers;gamblers|Some;gamblers;farmers|All;gamblers;farmers|No;farmers;gamblers|All;farmers;gamblers,Some;gamblers;farmers,single-choice,syllogistic,II2,Ica,12.328666666666622,,,False,False,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,16,Some;boxers;surfers/No;florists;boxers,Some not;surfers;florists|No;florists;surfers|Some not;florists;surfers|NVC|Some;surfers;florists|Some;florists;surfers|All;florists;surfers|No;surfers;florists|All;surfers;florists,No;surfers;florists,single-choice,syllogistic,IE2,Eac,9.28466666666669,,,False,True,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,17,No;clerks;auditors/All;cashiers;clerks,Some not;auditors;cashiers|No;cashiers;auditors|Some not;cashiers;auditors|NVC|Some;auditors;cashiers|Some;cashiers;auditors|All;cashiers;auditors|No;auditors;cashiers|All;auditors;cashiers,Some not;cashiers;auditors,single-choice,syllogistic,EA2,Oca,16.298999999999868,,,True,True,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,18,No;porters;packers/No;porters;hunters,Some not;packers;hunters|No;hunters;packers|Some not;hunters;packers|NVC|Some;packers;hunters|Some;hunters;packers|All;hunters;packers|No;packers;hunters|All;packers;hunters,Some not;hunters;packers,single-choice,syllogistic,EE4,Oca,7.933666666666709,,,False,False,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,19,No;waiters;managers/Some;waiters;brokers,Some not;managers;brokers|No;brokers;managers|Some not;brokers;managers|NVC|Some;managers;brokers|Some;brokers;managers|All;brokers;managers|No;managers;brokers|All;managers;brokers,Some not;brokers;managers,single-choice,syllogistic,EI4,Oca,5.227333333333341,,,True,True,50,male,high,yes,yes,feedback,no,2,0,4,5
ACCLLDFWCL,20,No;analysts;novelists/Some;travelers;novelists,Some not;analysts;travelers|No;travelers;analysts|Some not;travelers;analysts|NVC|Some;analysts;travelers|Some;travelers;analysts|All;travelers;analysts|No;analysts;travelers|All;analysts;travelers,Some not;travelers;analysts,single-choice,syllogistic,EI3,Oca,7.3016666666667005,,,True,True,50,male,high,yes,yes,feedback,no,2,0,4,5
